id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,postcode,rich,borough
3831,"Whole flr w/private bdrm, bath & kitchen(pls read)",4869,LisaRoxanne,"Brooklyn, New York, United States",40.68514,-73.95976,Entire home/apt,77.0,1,364,10/19/2020,4.9,1,279,11238,0,Brooklyn
5178,Large Furnished Room Near B'way　,8967,Shunichi,"New York, United States",40.76468,-73.98315,Private room,65.0,2,474,9/25/2020,3.39,1,347,10019,0,Manhattan
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,"Brooklyn, New York, United States",40.66829,-73.98779,Private room,84.0,4,182,10/17/2020,1.3,3,365,11215,0,Brooklyn
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,,40.70837,-73.95352,Entire home/apt,109.0,30,181,3/16/2020,1.3,1,0,11211,0,Brooklyn
7097,Perfect for Your Parents + Garden; Germ-Free,17571,Jane,"Brooklyn, New York, United States",40.69121,-73.97277,Entire home/apt,191.0,2,234,10/31/2020,1.78,2,337,11205,0,Brooklyn
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,,40.68371,-73.94028,Entire home/apt,120.0,2,116,9/7/2020,0.85,2,352,11221,0,Brooklyn
9657,Modern 1 BR / NYC / East Village,21904,Dana,"New York, United States",40.7292,-73.98542,Entire home/apt,175.0,7,34,9/30/2020,0.25,1,87,10003,0,Manhattan
9704,Spacious 1 bedroom in luxe building,32045,Teri,,40.81305,-73.95466,Private room,55.0,2,98,3/14/2020,1.26,1,365,10027,0,Manhattan
10962,"Lovely Room 2; Garden; Best area, Legal",9744,Laurie,"Brooklyn, New York, United States",40.66869,-73.9878,Private room,84.0,4,181,9/4/2020,1.34,3,365,11215,0,Brooklyn
12192,ENJOY Downtown NYC!,46978,Edward,"New York, United States",40.7229,-73.98199,Private room,34.0,2,264,10/10/2020,1.97,2,313,10009,0,Manhattan
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,"Queens, New York, United States",40.74771,-73.9474,Private room,130.0,2,282,10/14/2020,2.23,1,251,11101,0,Queens
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,"Brooklyn, New York, United States",40.68111,-73.95591,Entire home/apt,100.0,5,67,8/22/2020,0.5,1,323,11207,0,Brooklyn
13394,Fort Greene brownstone,52335,Alexander,,40.69142,-73.97376,Private room,80.0,1,143,3/19/2020,1.08,1,159,11205,0,Brooklyn
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,"Brooklyn, New York, United States",40.68064,-73.94039,Private room,81.0,2,141,7/12/2020,1.11,3,358,11216,0,Brooklyn
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,"Brooklyn, New York, United States",40.7042,-73.9356,Entire home/apt,146.0,3,101,10/11/2020,0.76,1,165,11206,0,Brooklyn
14314,Greenpoint Place...Has It All!,56246,Jeanne,,40.73506,-73.95392,Entire home/apt,150.0,2,180,8/16/2020,6.04,1,0,11222,0,Brooklyn
15341,Bright Nolita Apt w Doorman & Elevator*,60049,Ted,"New York, United States",40.72297,-73.99684,Entire home/apt,150.0,30,26,10/14/2020,0.3,1,62,10012,0,Manhattan
15385,"Very, very cozy place",60252,Cristina,"Brooklyn, New York, United States",40.71185,-73.96204,Private room,80.0,7,49,2/7/2020,0.38,1,280,11211,0,Brooklyn
15711,2 bedroom Upper East Side,61491,D,"New York, United States",40.77065,-73.95269,Entire home/apt,173.0,2,83,7/8/2020,0.63,2,76,10075,1,Manhattan
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,"Brooklyn, New York, United States",40.67811,-73.96428,Entire home/apt,300.0,30,151,10/21/2020,1.22,1,309,11238,0,Brooklyn
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,"Brooklyn, New York, United States",40.68985,-73.96948,Private room,55.0,7,28,4/1/2020,0.21,2,343,11205,0,Brooklyn
16580,"Sunny, Modern room in East Village!",64442,Reka,"New York, United States",40.72649,-73.97904,Private room,81.0,1,414,10/13/2020,4.72,1,159,10009,0,Manhattan
