id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,postcode,rich,borough
2595,Skylit Midtown Castle,2845,Jennifer,Midtown,40.75362,-73.98377,Entire home/apt,225.0,1,45,2019-05-21,0.38,2,355,10018,1,Manhattan
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Clinton Hill,40.68514,-73.95976,Entire home/apt,89.0,1,270,2019-07-05,4.64,1,194,11238,0,Brooklyn
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,Murray Hill,40.74767,-73.975,Entire home/apt,200.0,3,74,2019-06-22,0.59,1,129,10016,0,Manhattan
5178,Large Furnished Room Near B'way ,8967,Shunichi,Hell's Kitchen,40.76489,-73.98493,Private room,79.0,2,430,2019-06-24,3.47,1,220,10019,0,Manhattan
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Chinatown,40.71344,-73.99037,Entire home/apt,150.0,1,160,2019-06-09,1.33,4,188,10002,0,Manhattan
5295,Beautiful 1br on Upper West Side,7702,Lena,Upper West Side,40.80316,-73.96545,Entire home/apt,135.0,5,53,2019-06-22,0.43,1,6,10025,0,Manhattan
5441,Central Manhattan/near Broadway,7989,Kate,Hell's Kitchen,40.76076,-73.98867,Private room,85.0,2,188,2019-06-23,1.5,1,39,10036,0,Manhattan
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,South Slope,40.66829,-73.98779,Private room,89.0,4,167,2019-06-24,1.34,3,314,11215,0,Brooklyn
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,Upper West Side,40.79826,-73.96113,Private room,85.0,2,113,2019-07-05,0.91,1,333,10025,0,Manhattan
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Williamsburg,40.70837,-73.95352,Entire home/apt,140.0,2,148,2019-06-29,1.2,1,46,11211,0,Brooklyn
7097,Perfect for Your Parents + Garden,17571,Jane,Fort Greene,40.69169,-73.97185,Entire home/apt,215.0,2,198,2019-06-28,1.72,1,321,11205,0,Brooklyn
7322,Chelsea Perfect,18946,Doti,Chelsea,40.74192,-73.99501,Private room,140.0,1,260,2019-07-01,2.12,1,12,10011,0,Manhattan
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Crown Heights,40.67592,-73.94694,Entire home/apt,99.0,3,53,2019-06-22,4.44,1,21,11216,0,Brooklyn
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,Park Slope,40.68069,-73.97706,Private room,130.0,2,130,2019-07-01,1.09,6,347,11217,0,Brooklyn
8025,CBG Helps Haiti Room#2.5,22486,Lisel,Park Slope,40.67989,-73.97798,Private room,80.0,1,39,2019-01-01,0.37,6,364,11217,0,Brooklyn
